Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S133303494,Brown-capped Rosy-Finch,Leucosticte australis,31646,3,US-CO,Clear Creek,L9791275,"The Goshawk (private, but open to public)",39.8195073,-105.646757,2023-04-10,6:55 AM,eBird - Traveling Count,102,1,0.67,,3,,2+1,,556202731 556202741
S133348396,House Finch,Haemorhous mexicanus,31648,4,US-CO,Jefferson,L23518818,"100 Summer Street, Morrison, Colorado, US (39.652, -105.19)",39.6519362,-105.1901601,2023-04-10,3:16 PM,eBird - Stationary Count,10,1,,,3,,,,
S133325322,House Finch,Haemorhous mexicanus,31648,1,US-CO,Jefferson,L385644,Standley Lake Park--north shore,39.8739445,-105.1244831,2023-04-10,11:03 AM,eBird - Traveling Count,42,1,0.15,,3,,,,
S133303494,Cassin's Finch,Haemorhous cassinii,31667,5,US-CO,Clear Creek,L9791275,"The Goshawk (private, but open to public)",39.8195073,-105.646757,2023-04-10,6:55 AM,eBird - Traveling Count,102,1,0.67,,3,,,,556202941 556202971 556202991 556203001 556203011
S133303494,Common Crossbill,Loxia curvirostra,31835,2,US-CO,Clear Creek,L9791275,"The Goshawk (private, but open to public)",39.8195073,-105.646757,2023-04-10,6:55 AM,eBird - Traveling Count,102,1,0.67,,3,,,,
S133303494,Pine Siskin,Spinus pinus,31931,10,US-CO,Clear Creek,L9791275,"The Goshawk (private, but open to public)",39.8195073,-105.646757,2023-04-10,6:55 AM,eBird - Traveling Count,102,1,0.67,,3,,,,
S133303494,Dark-eyed Junco,Junco hyemalis,32449,30,US-CO,Clear Creek,L9791275,"The Goshawk (private, but open to public)",39.8195073,-105.646757,2023-04-10,6:55 AM,eBird - Traveling Count,102,1,0.67,,3,,,,
S133343943,Dark-eyed Junco (Slate-coloured/cismontanus),Junco hyemalis hyemalis/carolinensis/cismontanus,32450,1,US-CO,Jefferson,L227296,Red Rocks Park,39.6684432,-105.2041578,2023-04-10,12:33 PM,eBird - Traveling Count,122,1,1.52,,3,,,,
S133303494,Dark-eyed Junco (Slate-coloured),Junco hyemalis hyemalis/carolinensis,32451,X,US-CO,Clear Creek,L9791275,"The Goshawk (private, but open to public)",39.8195073,-105.646757,2023-04-10,6:55 AM,eBird - Traveling Count,102,1,0.67,,3,,,,
S133303494,Dark-eyed Junco (Oregon),Junco hyemalis [oreganus Group],32455,X,US-CO,Clear Creek,L9791275,"The Goshawk (private, but open to public)",39.8195073,-105.646757,2023-04-10,6:55 AM,eBird - Traveling Count,102,1,0.67,,3,,,,
S133303494,Dark-eyed Junco (Pink-sided),Junco hyemalis mearnsi,32463,X,US-CO,Clear Creek,L9791275,"The Goshawk (private, but open to public)",39.8195073,-105.646757,2023-04-10,6:55 AM,eBird - Traveling Count,102,1,0.67,,3,,,,
S133303494,Dark-eyed Junco (Grey-headed),Junco hyemalis caniceps,32467,X,US-CO,Clear Creek,L9791275,"The Goshawk (private, but open to public)",39.8195073,-105.646757,2023-04-10,6:55 AM,eBird - Traveling Count,102,1,0.67,,3,,,,
S133346566,Spotted Towhee,Pipilo maculatus,32713,1,US-CO,Jefferson,L233566,Morrison Park,39.6527673,-105.1999484,2023-04-10,2:54 PM,eBird - Traveling Count,12,1,0.27,,3,,,,
S133343943,Spotted Towhee,Pipilo maculatus,32713,2,US-CO,Jefferson,L227296,Red Rocks Park,39.6684432,-105.2041578,2023-04-10,12:33 PM,eBird - Traveling Count,122,1,1.52,,3,,,,
S133325322,Western Meadowlark,Sturnella neglecta,32893,1,US-CO,Jefferson,L385644,Standley Lake Park--north shore,39.8739445,-105.1244831,2023-04-10,11:03 AM,eBird - Traveling Count,42,1,0.15,,3,,,,
S133303494,Red-winged Blackbird,Agelaius phoeniceus,33101,1,US-CO,Clear Creek,L9791275,"The Goshawk (private, but open to public)",39.8195073,-105.646757,2023-04-10,6:55 AM,eBird - Traveling Count,102,1,0.67,,3,,,,
S133446990,Canada Goose,Branta canadensis,319,2,US-CO,Chaffee,L6018262,Browns Canyon NM--Ruby Mountain Campground area,38.752615,-106.070245,2023-04-11,2:50 PM,eBird - Traveling Count,19,1,0.73,,2,,,,
S133470266,Canada Goose,Branta canadensis,319,1,US-CO,Chaffee,L1133761,Poncha Springs (town),38.5124115,-106.0736418,2023-04-11,6:59 PM,eBird - Traveling Count,18,1,1,,1,,,,
S133451029,Gadwall,Mareca strepera,468,3,US-CO,Park,L111059,Park,39.12713,-105.75408,2023-04-11,9:54 AM,eBird - Casual Observation,,0,,,3,,,,
S133451029,Mallard,Anas platyrhynchos,505,10,US-CO,Park,L111059,Park,39.12713,-105.75408,2023-04-11,9:54 AM,eBird - Casual Observation,,0,,,3,,,,
S133446990,Common Goldeneye,Bucephala clangula,690,2,US-CO,Chaffee,L6018262,Browns Canyon NM--Ruby Mountain Campground area,38.752615,-106.070245,2023-04-11,2:50 PM,eBird - Traveling Count,19,1,0.73,,2,,,,
S133446990,Goosander,Mergus merganser,708,1,US-CO,Chaffee,L6018262,Browns Canyon NM--Ruby Mountain Campground area,38.752615,-106.070245,2023-04-11,2:50 PM,eBird - Traveling Count,19,1,0.73,,2,,,,
S133417037,Dusky Grouse,Dendragapus obscurus,1248,1,US-CO,Jefferson,L876859,Reynolds Ranch County Park,39.4663152,-105.2362776,2023-04-11,6:30 AM,eBird - Traveling Count,129,1,3.38,,3,,"39.466987, -105.245735",,557084551 557084591 557084671 557084721 557084781 557084821 557084831 557084951 557084981
S133470266,Collared Dove,Streptopelia decaocto,2033,3,US-CO,Chaffee,L1133761,Poncha Springs (town),38.5124115,-106.0736418,2023-04-11,6:59 PM,eBird - Traveling Count,18,1,1,,1,,,,
S133451029,Turkey Vulture,Cathartes aura,7550,7,US-CO,Park,L111059,Park,39.12713,-105.75408,2023-04-11,9:54 AM,eBird - Casual Observation,,0,,,3,,,,
S133446990,Golden Eagle,Aquila chrysaetos,7799,1,US-CO,Chaffee,L6018262,Browns Canyon NM--Ruby Mountain Campground area,38.752615,-106.070245,2023-04-11,2:50 PM,eBird - Traveling Count,19,1,0.73,,2,,,,557085761
S133451029,Golden Eagle,Aquila chrysaetos,7799,1,US-CO,Park,L111059,Park,39.12713,-105.75408,2023-04-11,9:54 AM,eBird - Casual Observation,,0,,,3,,,,
S133451029,Bald Eagle,Haliaeetus leucocephalus,8105,1,US-CO,Park,L111059,Park,39.12713,-105.75408,2023-04-11,9:54 AM,eBird - Casual Observation,,0,,,3,,,,
S133450863,Red-tailed Hawk,Buteo jamaicensis,8233,1,US-CO,Chaffee,L23537282,"15470 US Highway 285, Salida, Colorado, US (38.644, -106.084)",38.6441842,-106.0837059,2023-04-11,3:48 PM,eBird - Casual Observation,,0,,,3,,,,557086011 557086021 557086031 557086041
S133435163,Red-tailed Hawk,Buteo jamaicensis,8233,1,US-CO,Park,L23534329,"Forest Service Road 431, Fairplay, Colorado, US (39.038, -105.977)",39.0381226,-105.9771459,2023-04-11,12:06 PM,eBird - Traveling Count,43,1,0.91,,3,,,,
S133451029,Red-tailed Hawk,Buteo jamaicensis,8233,4,US-CO,Park,L111059,Park,39.12713,-105.75408,2023-04-11,9:54 AM,eBird - Casual Observation,,0,,,3,,,,
S133417037,Northern Pygmy-Owl,Glaucidium gnoma,8723,0,US-CO,Jefferson,L876859,Reynolds Ranch County Park,39.4663152,-105.2362776,2023-04-11,6:30 AM,eBird - Traveling Count,129,1,3.38,,3,,,,
S133417247,Northern Saw-whet Owl,Aegolius acadicus,9015,0,US-CO,Jefferson,L23530647,"13748-13668 South Foxton Road, Littleton, Colorado, US (39.467, -105.239)",39.4667706,-105.2389747,2023-04-11,4:55 AM,eBird - Stationary Count,5,1,,,1,,,,
S133415613,Northern Saw-whet Owl,Aegolius acadicus,9015,0,US-CO,Jefferson,L23530647,"13748-13668 South Foxton Road, Littleton, Colorado, US (39.467, -105.239)",39.4667706,-105.2389747,2023-04-11,4:56 AM,eBird - Traveling Count,21,1,1.5,,1,,,"AN walk to hear NSWO, not found.",
S133417158,Northern Saw-whet Owl,Aegolius acadicus,9015,2,US-CO,Jefferson,L23530914,"13939 South Foxton Road, Littleton, Colorado, US (39.462, -105.231)",39.4618546,-105.230842,2023-04-11,5:02 AM,eBird - Stationary Count,3,1,,,2,,,,559460401 559460411 559460421
