taxon_sort,common_name,scientific_name,species_code,aba,world_lifer,US_lifer,media_lifer,freq_US,freq_MI,freq_IN,freq_KS,freq_CO4,freq_TX,freq_AZ,freq_CA,freq_UT,freq_NV,freq_ID,freq_ND,freq_MT,freq_CO6,freq_WA,midwest,colorado,texas,arizona,california,mountainwest,cascadia,freq_max,Column1,Column2,target,region,exotic,vagrant,comment,Sensitive
6054,Long-billed Dowitcher ,Limnodromus scolopaceus,lobdow,1,,,,1.00%,0.13%,0.93%,4.53%,2.00%,5.00%,1.00%,1.00%,0.00%,0.00%,0.03%,0.16%,0.00%,0.00%,0.00%,4.53%,2.00%,5.00%,1.00%,1.00%,0.16%,0.00%,5.00%,FALSE,255.69%,0,,,,,
6064,American Woodcock ,Scolopax minor,amewoo,1,,,,1.00%,1.65%,0.92%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,1.65%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,1.65%,FALSE,681.01%,0,,,,,
6086,Wilson's Snipe ,Gallinago delicata,wilsni1,1,,,,2.00%,3.49%,3.93%,4.00%,4.00%,2.00%,0.00%,0.00%,2.00%,2.00%,4.60%,12.02%,8.00%,2.00%,2.00%,4.00%,4.00%,2.00%,0.00%,0.00%,12.02%,2.00%,12.02%,FALSE,350.29%,0,,,,,
6110,Wilson's Phalarope ,Phalaropus tricolor,wilpha,1,,,1,1.00%,0.10%,0.26%,4.87%,2.00%,2.00%,2.00%,1.00%,3.00%,2.00%,2.95%,11.75%,6.00%,1.00%,1.00%,4.87%,2.00%,2.00%,2.00%,1.00%,11.75%,1.00%,11.75%,FALSE,334.08%,0,,,,,
6111,Red-necked Phalarope ,Phalaropus lobatus,renpha,1,,,,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,1.00%,1.00%,0.00%,0.00%,0.05%,0.69%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,1.00%,1.00%,0.69%,0.00%,1.00%,FALSE,258.43%,0,,,,,
6112,Grey Phalarope ,Phalaropus fulicarius,redpha1,1,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,TRUE,#DIV/0!,0,,,,,
6116,Spotted Sandpiper ,Actitis macularius,sposan,1,,,,5.00%,1.48%,2.91%,5.21%,2.00%,7.00%,7.00%,4.00%,6.00%,3.00%,8.51%,5.99%,12.00%,6.00%,6.00%,5.21%,2.00%,7.00%,7.00%,4.00%,12.00%,6.00%,12.00%,FALSE,194.40%,0,,,,,
6119,Solitary Sandpiper ,Tringa solitaria,solsan,1,,,,2.00%,1.03%,4.69%,1.70%,1.00%,4.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.14%,0.00%,0.00%,0.00%,4.69%,1.00%,4.00%,0.00%,0.00%,0.14%,0.00%,4.69%,FALSE,333.88%,0,,,,,
6123,Wandering Tattler ,Tringa incana,wantat1,1,1,1,1,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.27%,0.00%,0.01%,0.27%,FALSE,675.00%,0,,,,,
6126,Greater Yellowlegs ,Tringa melanoleuca,greyel,1,,,,3.00%,4.03%,7.09%,10.36%,6.00%,7.00%,0.00%,1.00%,0.00%,0.00%,0.27%,0.59%,0.00%,0.00%,1.00%,10.36%,6.00%,7.00%,0.00%,1.00%,0.59%,1.00%,10.36%,FALSE,279.49%,0,,,,,
